ROW_ID,GENERO,ANIOS,ESTADO,FECHA_ULT_COMPRA,ARTICULOS_BEBES,MONTO_BEBES,ARTICULOS_OTROS,MONTO_OTROS,ARTICULOS_TOTALES,MONTO_TOTALES,Q1,Q2,Q3,Q4
123433,F,47,MEXICO,2022-03-01,6,"316,292,088,524",16,"222,240,550,749",22,"2,538,697,596,014",22,0,0,0
1750,F,35,CHIHUAHUA,2022-04-01,21,"2,458,085,786,589",1,"26,964,213,413",22,"2,485,050,000,002",0,22,0,0
1127,M,65,MEXICO,2022-07-01,6,806.09,15,"329,424,587,056",21,"410,033,587,056",3,16,2,0
11152,F,60,MEXICO,2022-04-01,1,"178,196,733,082",20,"5,342,915,455,034",21,"5,521,112,188,116",0,21,0,0
11788,F,62,MORELOS,2022-06-01,2,286.44,19,"6,936,887,873,461",21,"7,223,327,873,461",0,21,0,0
185,F,66,SAN LUIS POTOSI,2022-08-01,8,930.11,13,7702.58,21,8632.69,8,5,8,0
11340,F,67,NUEVO LEON,2022-06-01,10,"1,286,338,044,035",11,"2,076,543,968,255",21,"336,288,201,229",0,21,0,0
1121,F,52,SINALOA,2022-05-01,9,"1,059,068,091,756",12,"2,013,549,106,194",21,"307,261,719,795",0,21,0,0
1030,F,33,MORELOS,2022-06-01,3,"424,489,084,999",18,"3,575,510,915,004",21,"4,000,000,000,003",0,21,0,0
1661,F,58,SONORA,2022-08-01,2,99.5,19,713.6,21,813.1,0,0,21,0
12110,M,45,NUEVO LEON,2022-05-01,4,"495,015,718,354",17,"3,910,358,799,763",21,"4,405,374,518,117",2,19,0,0
1155,F,50,MEXICO,2022-08-01,3,333.5,18,3346.31,21,3679.81,0,9,12,0
12645,F,48,DISTRITO FEDERAL,2022-05-01,1,164.88,20,8820.32,21,8985.2,0,21,0,0
11813,F,51,SAN LUIS POTOSI,2022-05-01,7,761.45,14,9185.91,21,9947.36,0,21,0,0
11594,F,57,TLAXCALA,2022-07-01,6,"68,664,502,509",14,"260,885,497,491",20,3295.5,10,6,4,0
1343,M,32,QUINTANA ROO,2022-08-01,9,"1,353,272,321,633",11,"2,938,442,961,552",20,"4,291,715,283,185",0,0,20,0
11744,M,38,MEXICO,2022-07-01,4,450.9,16,2008.65,20,2459.55,0,9,11,0
12820,F,52,NUEVO LEON,2022-05-01,8,1216.8,12,1172.9,20,2389.7,0,20,0,0
1308,M,62,TABASCO,2022-06-01,11,1180.62,9,4222.83,20,5403.45,4,16,0,0
12272,F,33,SINALOA,2022-08-01,11,1337.48,9,"1,359,660,000,001",20,"2,697,140,000,001",0,5,15,0
1171,M,44,VERACRUZ DE IGNACIO DE LA LLAVE,2022-06-01,4,515.65,16,2099.92,20,2615.57,5,15,0,0
189,F,71,TABASCO,2022-05-01,6,558.15,14,"969,326,950,354",20,"1,527,476,950,354",14,6,0,0
13536,F,27,MEXICO,2022-07-01,11,1777.41,9,3136.32,20,4913.73,0,0,20,0
111192,M,36,MEXICO,2022-04-01,4,695.94,16,4476.98,20,5172.92,0,20,0,0
11896,F,64,MICHOACAN DE OCAMPO,2022-08-01,3,425.01,17,"439,297,659,296",20,"481,798,659,296",6,0,14,0
11572,F,51,SINALOA,2022-06-01,17,1857.64,3,45,20,1902.64,7,13,0,0
120209,F,49,MEXICO,2022-08-01,6,915.3,14,2546,20,3461.3,4,12,4,0
1396,F,66,OAXACA,2022-08-01,8,"1,460,127,667,863",12,"2,440,251,527,422",20,"3,900,379,195,285",0,0,20,0
11418,F,59,TLAXCALA,2022-05-01,2,"23,641,178,654",18,"4,183,788,213,458",20,"4,420,199,999,998",0,20,0,0
170,M,72,VERACRUZ DE IGNACIO DE LA LLAVE,2022-07-01,9,"1,168,482,985,938",11,"2,096,157,014,061",20,"3,264,639,999,999",6,11,3,0
117500,F,37,TABASCO,2022-02-01,1,161.46,19,2600.05,20,2761.51,20,0,0,0
112010,M,39,MEXICO,2022-04-01,2,277.14,18,5152.79,20,5429.93,0,20,0,0
12826,M,64,SINALOA,2022-08-01,8,1388.38,12,1744.59,20,3132.97,5,9,6,0
12552,F,49,,2022-03-01,1,"155,158,375,123",19,"722,818,797,498",20,"877,977,172,621",20,0,0,0
11860,M,33,,2022-07-01,1,"198,098,949,529",19,"3,480,768,968,847",20,"3,678,867,918,376",0,0,20,0
11826,M,60,MICHOACAN DE OCAMPO,2022-03-01,20,"1,377,999,999,997",0,0,20,"1,377,999,999,997",20,0,0,0
13040,F,35,MEXICO,2022-06-01,8,"1,523,051,041,213",12,2241.9,20,"3,764,951,041,213",0,20,0,0
11462,M,33,DISTRITO FEDERAL,2022-05-01,5,"869,324,398,178",14,"3,630,748,796,356",19,"4,500,073,194,534",8,11,0,0
146,F,56,YUCATAN,2022-08-01,6,"614,751,500,949",13,"2,246,587,252,861",19,"286,133,875,381",0,11,8,0
117865,F,26,GUANAJUATO,2022-03-01,7,192.2,12,909.32,19,1101.52,19,0,0,0
1247,I,32,PUEBLA,2022-06-01,18,"2,024,492,822,966",1,109,19,"2,133,492,822,966",0,19,0,0
12342,M,63,PUEBLA,2022-04-01,11,"1,163,339,515,816",8,"955,958,897,815",19,"2,119,298,413,631",12,7,0,0
12086,F,58,PUEBLA,2022-05-01,3,248.76,16,3297.03,19,3545.79,10,9,0,0
11926,F,71,,2022-02-01,7,663,12,2952.75,19,3615.75,19,0,0,0
11466,F,64,TLAXCALA,2022-05-01,4,"694,115,949,978",15,"3,160,345,754,716",19,"3,854,461,704,694",2,17,0,0
